VYP batch,Run
97_2019_07_01,high_bad
98_2019_07_01,high_bad
99_2019_07_01,high_bad
101_2019_07_01,high_bad
102_2019_07_02,good
104_2019_07_02,good
105_2019_07_02,high_bad
106_2019_07_02,high_bad
107_2019_07_02,high_bad
108_2019_07_02,good
109_2019_07_02,high_bad
110_2019_07_03,high_bad
111_2019_07_03,high_bad
112_2019_07_03,good
113_2019_07_03,good
114_2019_07_03,good
115_2019_07_03,high_bad
116_2019_07_04,high_bad
117_2019_07_04,good
118_2019_07_04,high_bad
120_2019_07_04,low_bad
121_2019_07_04,good
122_2019_07_04,good
123_2019_07_05,high_bad
2_2019_07_16,high_bad
4_2019_07_16,high_bad
5_2019_07_16,good
6_2019_07_16,high_bad
7_2019_07_16,low_bad
8_2019_07_17,good
9_2019_07_18,high_bad
11_2019_07_18,high_bad
12_2019_07_18,good
13_2019_07_18,high_bad
14_2019_07_18,high_bad
15_2019_07_18,high_bad
16_2019_07_18,high_bad
17_2019_07_19,high_bad
18_2019_07_19,high_bad
19_2019_07_19,high_bad
34_2019_07_24,high_bad
35_2019_07_24,good
37_2019_07_24,high_bad
38_2019_07_25,high_bad
39_2019_07_25,high_bad
40_2019_07_25,high_bad
41_2019_07_25,high_bad
43_2019_07_25,low_bad
44_2019_07_30,good
45_2019_07_30,high_bad
46_2019_07_30,high_bad
47_2019_07_30,high_bad
48_2019_07_30,high_bad
49_2019_07_30,good
50_2019_07_30,high_bad
52_2019_07_31,high_bad
53_2019_07_31,high_bad
54_2019_07_31,high_bad
55_2019_07_31,high_bad
56_2019_07_31,good
57_2019_07_31,good
58_2019_07_31,high_bad
59_2019_08_01,high_bad
60_2019_08_01,high_bad
61_2019_08_01,high_bad
62_2019_08_01,high_bad
63_2019_08_01,high_bad
64_2019_08_01,high_bad
66_2019_08_02,high_bad
1_2019_08_02,high_bad
2_2019_08_06,high_bad
5_2019_08_06,good
7_2019_08_06,high_bad
8_2019_08_06,high_bad
9_2019_08_06,high_bad
10_2019_08_07,high_bad
11_2019_08_07,good
12_2019_08_07,good
13_2019_08_07,high_bad
14_2019_08_07,high_bad
15_2019_08_07,high_bad
16_2019_08_07,high_bad
5_2019_08_08,good
21_2019_08_08,high_bad
22_2019_08_13,high_bad
23_2019_08_13,good
24_2019_08_13,high_bad
25_2019_08_13,high_bad
26_2019_08_13,high_bad
27_2019_08_13,good
29_2019_08_13,high_bad
28_2019_08_13,high_bad
29_2019_08_14,high_bad
30_2019_08_14,high_bad
31_2019_08_14,high_bad
33_2019_08_14,high_bad
35_2019_08_14,high_bad
37_2019_08_14,high_bad
38_2019_08_15,good
39_2019_08_15,high_bad
40_2019_08_15,good
44_2019_08_19,high_bad
46_2019_08_20,high_bad
47_2019_08_20,high_bad
48_2019_08_20,good
49_2019_08_20,high_bad
50_2019_08_20,high_bad
51_2019_08_21,high_bad
52_2019_08_21,high_bad
53_2019_08_21,good
54_2019_08_21,high_bad
55_2019_08_21,high_bad
56_2019_08_21,good
58_2019_08_21,high_bad
60_2019_08_22,high_bad
91_2019_08_22,high_bad
92_2019_09_03,high_bad
93_2019_09_03,high_bad
94_2019_09_03,high_bad
95_2019_09_03,high_bad
96_2019_09_03,high_bad
97_2019_09_04,high_bad
98_2019_09_04,good
99_2019_09_04,good
101_2019_09_04,high_bad
102_2019_09_04,high_bad
103_2019_09_04,good
104_2019_09_05,high_bad
105_2019_09_05,high_bad
106_2019_09_05,good
107_2019_09_05,high_bad
1_2019_09_09,good
2_2019_09_10,high_bad
3_2019_09_10,high_bad
4_2019_09_10,high_bad
5_2019_09_10,high_bad
6_2019_09_10,high_bad
7_2019_09_10,high_bad
9_2019_09_10,high_bad
10_2019_09_11,high_bad
11_2019_09_11,high_bad
12_2019_09_11,high_bad
13_2019_09_11,good
14_2019_09_11,high_bad
15_2019_09_11,high_bad
16_2019_09_11,high_bad
18_2019_09_12,high_bad
19_2019_09_12,high_bad
20_2019_09_12,good
21_2019_09_12,high_bad
22_2019_09_12,high_bad
10_2019_09_12,high_bad
24_2019_09_13,high_bad
12_2019_09_13,high_bad
25_2019_09_13,high_bad
73_2019_10_02,high_bad
74_2019_10_02,high_bad
75_2019_10_02,high_bad
76_2019_10_02,high_bad
77_2019_10_02,good
79_2019_10_02,high_bad
80_2019_10_03,high_bad
81_2019_10_03,high_bad
82_2019_10_03,good
83_2019_10_03,high_bad
84_2019_10_03,good
85_2019_10_03,high_bad
86_2019_10_03,high_bad
87_2019_10_04,high_bad
75_2019_10_04,high_bad
89_2019_10_04,high_bad
90_2019_10_04,good
93_2019_10_07,low_bad
94_2019_10_07,good
1_2019_10_07,good
2_2019_10_08,good
3_2019_10_08,good
4_2019_10_08,good
5_2019_10_08,good
6_2019_10_08,high_bad
7_2019_10_08,high_bad
8_2019_10_08,good
9_2019_10_08,high_bad
10_2019_10_09,good
11_2019_10_09,high_bad
12_2019_10_09,high_bad
13_2019_10_09,high_bad
14_2019_10_09,good
15_2019_10_09,good
16_2019_10_09,good
17_2019_10_09,good
18_2019_10_10,good
19_2019_10_10,good
20_2019_10_10,good
21_2019_10_10,good
22_2019_10_11,good
23_2019_10_11,good
24_2019_10_11,good
25_2019_10_11,good
26_2019_10_11,low_bad
27_2019_10_15,high_bad
28_2019_10_15,high_bad
29_2019_10_15,high_bad
30_2019_10_15,high_bad
31_2019_10_15,high_bad
32_2019_10_15,high_bad
33_2019_10_15,high_bad
34_2019_10_15,good
35_2019_10_16,good
36_2019_10_16,high_bad
37_2019_10_16,good
38_2019_10_16,high_bad
39_2019_10_16,good
40_2019_10_16,good
41_2019_10_16,good
42_2019_10_16,good
43_2019_10_17,high_bad
44_2019_10_17,good
45_2019_10_17,good
46_2019_10_17,good
47_2019_10_17,high_bad
48_2019_10_22,good
49_2019_10_22,good
50_2019_10_22,high_bad
51_2019_10_22,good
52_2019_10_22,good
54_2019_10_22,good
55_2019_10_22,low_bad
56_2019_10_22,high_bad
57_2019_10_23,high_bad
58_2019_10_23,high_bad
59_2019_10_23,good
60_2019_10_23,good
61_2019_10_23,high_bad
62_2019_10_23,good
63_2019_10_23,good
64_2019_10_24,good
65_2019_10_24,good
66_2019_10_24,good
67_2019_10_24,high_bad
68_2019_10_24,good
69_2019_10_24,high_bad
70_2019_10_24,high_bad
71_2019_10_24,high_bad
72_2019_10_24,good
73_2019_10_25,good
74_2019_10_25,good
80_2019_10_25,high_bad
81_2019_10_29,good
82_2019_10_29,high_bad
83_2019_10_29,low_bad
84_2019_10_29,good
85_2019_10_29,high_bad
86_2019_10_29,good
87_2019_10_29,good
88_2019_10_29,good
89_2019_10_30,high_bad
90_2019_10_30,good
91_2019_10_30,good
92_2019_10_30,good
93_2019_10_30,high_bad
94_2019_10_30,high_bad
95_2019_10_30,good
96_2019_10_31,good
97_2019_10_31,high_bad
98_2019_10_31,good
99_2019_10_31,high_bad
100_2019_10_31,high_bad
1_2019_10_31,good
2_2019_11_07,low_bad
3_2019_11_07,high_bad
4_2019_11_07,high_bad
5_2019_11_07,high_bad
6_2019_11_07,good
7_2019_11_07,high_bad
8_2019_11_07,good
9_2019_11_07,good
10_2019_11_08,high_bad
11_2019_11_08,high_bad
12_2019_11_08,high_bad
13_2019_11_08,good
14_2019_11_08,good
12_2019_11_12,good
16_2019_11_12,good
17_2019_11_12,good
18_2019_11_12,good
19_2019_11_12,high_bad
20_2019_11_12,high_bad
21_2019_11_12,good
22_2019_11_12,good
23_2019_11_13,good
24_2019_11_13,high_bad
25_2019_11_13,good
26_2019_11_13,high_bad
27_2019_11_13,high_bad
28_2019_11_13,high_bad
29_2019_11_13,high_bad
30_2019_11_14,good
31_2019_11_14,good
32_2019_11_14,good
33_2019_11_14,good
34_2019_11_14,good
35_2019_11_14,good
36_2019_11_14,high_bad
37_2019_11_14,good
38_2019_11_15,good
39_2019_11_15,low_bad
40_2019_11_15,good
41_2019_11_15,high_bad
42_2019_11_15,good
43_2019_11_15,good
44_2019_11_19,high_bad
45_2019_11_19,good
48_2019_11_20,good
49_2019_11_20,good
50_2019_11_20,good
51_2019_11_20,low_bad
52_2019_11_20,low_bad
53_2019_11_20,good
56_2019_11_20,high_bad
57_2019_11_21,good
54_2019_11_21,good
55_2019_11_21,low_bad
46_2019_11_21,good
47_2019_11_22,good
58_2019_11_22,high_bad
59_2019_11_22,good
60_2019_11_22,high_bad
61_2019_11_22,high_bad
69_2019_11_22,good
64_2019_11_22,high_bad
65_2019_11_25,high_bad
66_2019_11_25,good
67_2019_11_26,good
68_2019_11_26,good
69_2019_11_26,good
70_2019_11_26,high_bad
71_2019_11_26,high_bad
73_2019_11_26,low_bad
74_2019_11_26,high_bad
75_2019_11_26,good
76_2019_11_27,good
77_2019_11_27,high_bad
78_2019_11_27,good
79_2019_11_27,high_bad
80_2019_11_27,good
81_2019_11_27,good
82_2019_11_28,good
83_2019_11_28,good
84_2019_11_28,high_bad
85_2019_11_28,high_bad
86_2019_11_28,high_bad
87_2019_11_28,high_bad
3_2019_11_28,good
2_2019_12_03,good
3_2019_12_03,good
4_2019_12_03,good
5_2019_12_03,good
6_2019_12_03,good
7_2019_12_03,high_bad
8_2019_12_03,high_bad
9_2019_12_03,high_bad
10_2019_12_03,good
11_2019_12_04,high_bad
12_2019_12_04,low_bad
13_2019_12_04,high_bad
14_2019_12_04,high_bad
15_2019_12_04,high_bad
27_2020_01_15,high_bad
40_2020_01_15,good
41_2020_01_15,good
46_2020_01_16,good
47_2020_01_16,high_bad
48_2020_01_16,high_bad
49_2020_01_16,high_bad
50_2020_01_16,good
57_2020_01_21,low_bad
58_2020_01_21,good
59_2020_01_22,low_bad
60_2020_01_22,high_bad
9_2020_01_29,good
10_2020_01_30,good
11_2020_01_30,good
12_2020_01_30,good
13_2020_01_30,good
14_2020_01_30,good
15_2020_01_31,high_bad
16_2020_01_31,good
17_2020_01_31,good
18_2020_01_31,good
55_2020_02_12,high_bad
56_2020_02_12,high_bad
57_2020_02_12,high_bad
58_2020_02_12,high_bad
59_2020_02_12,high_bad
60_2020_02_13,good
61_2020_02_13,good
62_2020_02_13,good
63_2020_02_13,good
64_2020_02_13,low_bad
65_2020_02_13,good
66_2020_02_13,high_bad
67_2020_02_13,good
68_2020_02_13,good
69_2020_02_14,low_bad
70_2020_02_14,good
71_2020_02_14,high_bad
72_2020_02_14,high_bad
77_2020_02_14,high_bad
78_2020_02_18,good
79_2020_02_18,good
80_2020_02_18,good
81_2020_02_18,good
82_2020_02_18,low_bad
83_2020_02_18,good
84_2020_02_18,high_bad
85_2020_02_18,high_bad
86_2020_02_19,high_bad
87_2020_02_19,high_bad
88_2020_02_19,high_bad
89_2020_02_19,high_bad
90_2020_02_19,good
91_2020_02_19,high_bad
92_2020_02_20,good
80_2020_02_20,low_bad
94_2020_02_20,good
95_2020_02_20,good
96_2020_02_20,good
16_2020_03_04,high_bad
17_2020_03_04,low_bad
18_2020_03_04,good
19_2020_03_04,good
20_2020_03_05,low_bad
21_2020_03_05,good
22_2020_03_05,good
46_2020_03_16,good
47_2020_03_17,low_bad
48_2020_03_17,low_bad
49_2020_03_17,good
45_2020_03_17,good
50_2020_03_17,good
51_2020_03_17,low_bad
52_2020_03_17,low_bad
53_2020_03_17,good
54_2020_03_17,high_bad
55_2020_03_18,high_bad
56_2020_03_18,high_bad
57_2020_03_18,high_bad
58_2020_03_18,high_bad
59_2020_03_18,high_bad
60_2020_03_18,high_bad
61_2020_03_18,low_bad
63_2020_03_18,good
64_2020_03_19,high_bad
65_2020_03_19,good
66_2020_03_19,good
67_2020_03_19,good
68_2020_03_19,good
62_2020_03_19,high_bad
69_2020_03_20,high_bad
70_2020_03_20,high_bad
71_2020_03_20,good
72_2020_03_20,good
73_2020_03_20,high_bad
74_2020_03_20,good
75_2020_03_23,high_bad
76_2020_03_24,good
77_2020_03_24,low_bad
78_2020_03_24,high_bad
79_2020_03_24,high_bad
80_2020_03_24,high_bad
81_2020_03_24,good
82_2020_03_24,high_bad
83_2020_03_25,high_bad
84_2020_03_25,high_bad
85_2020_03_25,good
86_2020_03_25,good
87_2020_03_25,low_bad
88_2020_03_25,high_bad
89_2020_03_26,high_bad
90_2020_03_26,high_bad
91_2020_03_26,good
92_2020_03_26,good
93_2020_03_26,high_bad
94_2020_03_26,good
95_2020_03_26,good
96_2020_03_26,high_bad
97_2020_03_26,good
98_2020_03_27,good
99_2020_03_27,high_bad
100_2020_03_27,good
102_2020_03_27,good
103_2020_03_27,good
104_2020_03_31,good
105_2020_03_31,good
106_2020_03_31,good
107_2020_03_31,high_bad
108_2020_03_31,high_bad
109_2020_03_31,low_bad
110_2020_03_31,good
111_2020_03_31,good
112_2020_03_31,high_bad
113_2020_04_01,high_bad
114_2020_04_01,high_bad
115_2020_04_01,high_bad
116_2020_04_01,high_bad
117_2020_04_01,high_bad
118_2020_04_01,high_bad
119_2020_04_01,high_bad
120_2020_04_01,high_bad
121_2020_04_01,high_bad
122_2020_04_02,high_bad
123_2020_04_02,good
124_2020_04_02,good
125_2020_04_02,good
126_2020_04_02,high_bad
127_2020_04_03,high_bad
128_2020_04_03,high_bad
129_2020_04_03,high_bad
130_2020_04_03,high_bad
131_2020_04_03,low_bad
132_2020_04_03,high_bad
1_2020_04_03,good
2_2020_04_06,good
3_2020_04_06,good
4_2020_04_07,good
5_2020_04_07,high_bad
6_2020_04_07,good
7_2020_04_08,low_bad
8_2020_04_09,good
9_2020_04_09,high_bad
10_2020_04_09,high_bad
11_2020_04_09,high_bad
12_2020_04_09,good
13_2020_04_15,high_bad
14_2020_04_15,good
15_2020_04_15,good
16_2020_04_15,good
17_2020_04_15,high_bad
18_2020_04_15,high_bad
19_2020_04_15,high_bad
20_2020_04_15,high_bad
21_2020_04_16,high_bad
22_2020_04_16,high_bad
23_2020_04_16,high_bad
24_2020_04_16,high_bad
25_2020_04_16,high_bad
26_2020_04_16,high_bad
27_2020_04_16,high_bad
28_2020_04_16,high_bad
29_2020_04_16,high_bad
30_2020_04_17,good
31_2020_04_17,good
32_2020_04_17,good
33_2020_04_17,good
38_2020_04_17,good
39_2020_04_21,good
41_2020_04_21,good
42_2020_04_21,good
43_2020_04_21,low_bad
44_2020_04_21,good
45_2020_04_21,good
46_2020_04_21,high_bad
56_2020_04_23,good
57_2020_04_23,low_bad
58_2020_04_23,good
59_2020_04_23,low_bad
60_2020_04_23,good
61_2020_04_24,high_bad
62_2020_04_24,good
63_2020_04_24,high_bad
64_2020_04_24,high_bad
52_2020_04_24,high_bad
71_2020_04_24,high_bad
72_2020_04_28,good
73_2020_04_28,good
74_2020_04_28,good
75_2020_04_28,good
76_2020_04_28,low_bad
77_2020_04_28,good
78_2020_04_28,low_bad
80_2020_04_29,high_bad
81_2020_04_29,high_bad
82_2020_04_29,high_bad
83_2020_04_29,high_bad
84_2020_04_29,high_bad
85_2020_04_29,high_bad
86_2020_04_29,good
87_2020_04_30,high_bad
88_2020_04_30,high_bad
89_2020_04_30,good
90_2020_04_30,good
91_2020_04_30,good
1_2020_04_30,good
2_2020_05_04,good
3_2020_05_04,good
4_2020_05_04,high_bad
5_2020_05_04,high_bad
6_2020_05_04,low_bad
7_2020_05_05,good
8_2020_05_05,low_bad
37_2020_05_11,high_bad
38_2020_05_11,high_bad
39_2020_05_11,good
40_2020_05_12,low_bad
41_2020_05_12,high_bad
42_2020_05_12,high_bad
43_2020_05_12,good
44_2020_05_12,good
45_2020_05_12,good
46_2020_05_12,good
47_2020_05_13,good
48_2020_05_13,good
49_2020_05_13,high_bad
75_2020_05_19,good
76_2020_05_19,high_bad
77_2020_05_19,good
78_2020_05_20,high_bad
79_2020_05_20,high_bad
80_2020_05_20,high_bad
81_2020_05_20,high_bad
82_2020_05_20,good
83_2020_05_20,good
84_2020_05_20,low_bad
85_2020_05_21,low_bad
86_2020_05_21,good
87_2020_05_21,good
88_2020_05_21,good
89_2020_05_21,high_bad
90_2020_05_21,good
91_2020_05_21,high_bad
13_2020_06_03,good
14_2020_06_03,low_bad
15_2020_06_03,low_bad
16_2020_06_03,low_bad
17_2020_06_03,high_bad
18_2020_06_04,high_bad
19_2020_06_04,high_bad
20_2020_06_04,good
21_2020_06_04,good
22_2020_06_04,low_bad
23_2020_06_04,high_bad
24_2020_06_10,high_bad
25_2020_06_10,high_bad
26_2020_06_10,high_bad
27_2020_06_10,high_bad
28_2020_06_11,high_bad
29_2020_06_11,good
30_2020_06_11,high_bad
32_2020_06_11,good
31_2020_06_11,high_bad
33_2020_06_11,high_bad
34_2020_06_11,good
35_2020_06_11,high_bad
36_2020_06_11,good
37_2020_06_11,low_bad
38_2020_06_12,good
39_2020_06_12,good
40_2020_06_12,good
41_2020_06_12,good
42_2020_06_15,low_bad
43_2020_06_15,good
45_2020_06_15,good
46_2020_06_15,good
47_2020_06_16,good
48_2020_06_16,low_bad
49_2020_06_16,low_bad
50_2020_06_16,good
51_2020_06_16,good
53_2020_06_16,high_bad
54_2020_06_17,low_bad
55_2020_06_17,good
44_2020_06_17,good
58_2020_06_17,high_bad
59_2020_06_17,high_bad
60_2020_06_17,high_bad
61_2020_06_17,good
62_2020_06_18,good
63_2020_06_18,low_bad
64_2020_06_18,high_bad
65_2020_06_18,high_bad
66_2020_06_18,high_bad
67_2020_06_18,high_bad
81_2020_06_23,low_bad
82_2020_06_23,low_bad
83_2020_06_23,low_bad
84_2020_06_23,low_bad
85_2020_06_24,good
86_2020_06_24,good
87_2020_06_24,good
88_2020_06_24,good
89_2020_06_24,good
90_2020_06_24,high_bad
91_2020_06_24,high_bad
92_2020_06_25,high_bad
93_2020_06_25,high_bad
94_2020_06_25,high_bad
95_2020_06_25,good
96_2020_06_25,good
97_2020_06_25,low_bad
98_2020_06_25,low_bad
97_2020_06_25,good
99_2020_06_25,high_bad
100_2020_06_25,low_bad